time,x_diff,y_diff,z_diff,sum_diff,labels
2019-11-15 00:05:05,0.0,0.0,0.0,0.0,1
2019-11-15 00:05:07,0.0,0.0,0.0,0.0,1
2019-11-15 00:05:08,0.0,0.0,0.0,0.0,1
2019-11-15 00:05:09,0.0,0.0,0.0,0.0,1
2019-11-15 00:05:10,0.0,0.0,0.0,0.0,1
2019-11-15 00:05:11,0.0,0.0,0.0,0.0,1
2019-11-15 00:05:12,0.0,0.0,0.0,0.0,1
2019-11-15 00:05:13,0.0,0.0,0.0,0.0,1
2019-11-15 00:05:15,0.0078125,0.0,0.0,0.0078125,0
2019-11-15 00:05:16,-0.0078125,0.0,0.0,0.0078125,0
2019-11-15 00:05:17,0.0,0.0,0.0,0.0,1
2019-11-15 00:05:18,0.0078125,0.0,0.0,0.0078125,0
2019-11-15 00:05:19,-0.0078125,0.0,0.0,0.0078125,0
2019-11-15 00:05:20,0.0,0.0,0.0,0.0,1
2019-11-15 00:05:21,0.0,0.0,0.0,0.0,1
2019-11-15 00:05:22,0.0,0.0,0.0,0.0,1
2019-11-15 00:05:23,0.0,0.0,0.0,0.0,1
2019-11-15 00:05:25,0.0,0.0,0.0,0.0,1
2019-11-15 00:05:26,0.0,0.0,0.0,0.0,1
2019-11-15 00:05:27,0.0,0.0,0.0,0.0,1
2019-11-15 00:05:28,0.0,0.0,0.0,0.0,1
2019-11-15 00:05:29,0.0,0.0,0.0,0.0,1
2019-11-15 00:05:30,0.0078125,0.0,0.0,0.0078125,0
2019-11-15 00:05:32,-0.0078125,0.0,0.0,0.0078125,0
2019-11-15 00:05:35,0.0,0.0,0.0,0.0,1
2019-11-15 00:05:36,0.0,0.0,0.01171875,0.01171875,0
2019-11-15 00:05:38,0.0,0.0,-0.01171875,0.01171875,0
2019-11-15 00:05:39,0.0,0.0,0.0,0.0,1
2019-11-15 00:05:42,0.0,0.0,0.0,0.0,1
2019-11-15 00:05:43,0.0,0.0,0.0,0.0,1
2019-11-15 00:05:44,0.0,0.0,0.0,0.0,1
2019-11-15 00:05:46,0.0,0.0,0.0,0.0,1
2019-11-15 00:05:48,0.0,0.0,0.0,0.0,1
2019-11-15 00:05:49,0.0,0.0,0.01171875,0.01171875,0
2019-11-15 00:05:50,0.0,0.0,-0.01171875,0.01171875,0
2019-11-15 00:05:52,0.0,0.0,0.0,0.0,1
2019-11-15 00:05:53,0.0,0.0,0.0,0.0,1
2019-11-15 00:05:54,0.0,0.0,0.0,0.0,1
2019-11-15 00:05:55,0.0,0.0,0.0,0.0,1
2019-11-15 00:05:58,0.0,0.0,0.0,0.0,1
2019-11-15 00:05:59,0.0,0.0,0.0,0.0,1
2019-11-15 00:06:00,0.0,0.0,0.0,0.0,1
2019-11-15 00:06:02,0.0,0.0,0.0,0.0,1
2019-11-15 00:06:03,0.0,0.0,0.0,0.0,1
2019-11-15 00:06:04,0.0,0.0,0.0,0.0,1
2019-11-15 00:06:05,0.0,0.0,0.0,0.0,1
2019-11-15 00:06:06,0.0,0.0,0.0,0.0,1
2019-11-15 00:06:09,0.0,0.0,0.0,0.0,1
2019-11-15 00:06:10,0.0,0.0,0.01171875,0.01171875,0
2019-11-15 00:06:11,0.0,0.0,-0.01953125,0.01953125,0
2019-11-15 00:06:12,0.0,0.0,0.0078125,0.0078125,0
2019-11-15 00:06:14,0.0,0.0,0.0,0.0,1
2019-11-15 00:06:15,0.0,0.0,0.0,0.0,1
2019-11-15 00:06:16,0.0,0.0,0.0,0.0,1
2019-11-15 00:06:17,0.0078125,0.0,0.0,0.0078125,0
2019-11-15 00:06:18,-0.0078125,0.0,0.0,0.0078125,0
2019-11-15 00:06:19,0.0,0.0,0.0,0.0,1
2019-11-15 00:06:21,0.0,0.0,0.01171875,0.01171875,0
2019-11-15 00:06:23,0.0,0.0,-0.01171875,0.01171875,0
2019-11-15 00:06:24,0.0,0.0,0.0,0.0,1
2019-11-15 00:06:25,0.0,0.0,0.0,0.0,1
2019-11-15 00:06:26,0.0,0.0,0.0,0.0,1
2019-11-15 00:06:29,0.0,0.0,0.0,0.0,1
2019-11-15 00:06:30,-0.01171875,0.0,0.0,0.01171875,0
2019-11-15 00:06:31,0.01171875,0.0,0.0,0.01171875,0
2019-11-15 00:06:32,0.0,0.0,0.0,0.0,1
2019-11-15 00:06:35,0.0,0.0,0.0,0.0,1
2019-11-15 00:06:37,0.0,0.0,0.0,0.0,1
2019-11-15 00:06:38,0.0,0.0,0.0,0.0,1
2019-11-15 00:06:40,0.0078125,0.0,0.0,0.0078125,0
2019-11-15 00:06:43,-0.0078125,0.0,0.0,0.0078125,0
2019-11-15 00:06:44,0.0,0.0,0.0,0.0,1
2019-11-15 00:06:45,0.0,0.0,0.0,0.0,1
2019-11-15 00:06:46,0.0,0.0,0.0,0.0,1
2019-11-15 00:06:48,0.0,0.0,0.01171875,0.01171875,0
2019-11-15 00:06:50,0.0,0.0,-0.01171875,0.01171875,0
2019-11-15 00:06:51,0.0,0.0,0.0,0.0,1
2019-11-15 00:06:52,0.0078125,0.0,0.0,0.0078125,0
2019-11-15 00:06:54,-0.0078125,0.0,0.0,0.0078125,0
2019-11-15 00:06:55,0.0,0.0,0.01171875,0.01171875,0
2019-11-15 00:06:56,0.0,0.0,-0.01171875,0.01171875,0
2019-11-15 00:06:57,0.0,0.0,0.0,0.0,1
2019-11-15 00:06:58,0.0,0.0,0.0,0.0,1
