,time,x_1s,y_1s,z_1s
130,2019-11-15 00:02:35,0.02734375,0.0,-1.0
131,2019-11-15 00:02:38,0.01953125,0.0,-1.0
132,2019-11-15 00:02:39,0.02734375,0.0,-1.0
133,2019-11-15 00:02:42,0.01953125,0.0,-1.0
134,2019-11-15 00:02:45,0.01953125,0.0,-1.0
135,2019-11-15 00:02:47,0.01953125,0.0,-1.0
136,2019-11-15 00:02:48,0.01953125,0.0,-1.0
137,2019-11-15 00:02:49,0.01953125,0.0,-1.0
138,2019-11-15 00:02:50,0.01953125,0.0,-1.0
139,2019-11-15 00:02:52,0.01953125,0.0,-1.0
140,2019-11-15 00:02:53,0.01953125,0.0,-1.0
141,2019-11-15 00:02:54,0.01953125,0.0,-1.0
142,2019-11-15 00:02:55,0.01953125,0.0,-1.0
143,2019-11-15 00:02:57,0.01953125,0.0,-1.0
144,2019-11-15 00:02:59,0.01953125,0.0,-1.0
145,2019-11-15 00:03:00,0.01953125,0.0,-1.0
146,2019-11-15 00:03:03,0.01953125,0.0,-0.98828125
147,2019-11-15 00:03:04,0.02734375,0.0,-1.0
148,2019-11-15 00:03:05,0.01953125,0.0,-1.0
149,2019-11-15 00:03:06,0.02734375,0.0,-1.0
150,2019-11-15 00:03:08,0.01953125,0.0,-0.98828125
151,2019-11-15 00:03:11,0.01953125,0.0,-1.0
152,2019-11-15 00:03:13,0.01953125,0.0,-1.0
153,2019-11-15 00:03:14,0.01953125,0.0,-1.0
154,2019-11-15 00:03:15,0.01953125,0.0,-1.0
155,2019-11-15 00:03:16,0.01953125,0.0,-1.0
156,2019-11-15 00:03:17,0.01953125,0.0,-1.0
157,2019-11-15 00:03:18,0.01953125,0.0,-1.0
158,2019-11-15 00:03:20,0.01953125,0.0,-1.0
159,2019-11-15 00:03:22,0.01953125,0.0,-1.0
160,2019-11-15 00:03:23,0.01953125,0.0,-1.0
161,2019-11-15 00:03:25,0.01953125,0.0,-1.0
162,2019-11-15 00:03:29,0.01953125,0.0,-1.0
163,2019-11-15 00:03:30,0.01953125,0.0,-1.0
164,2019-11-15 00:03:31,0.01953125,0.0,-1.0
